discordants,split_reads,circle_score,mean_cov,cov_incr_start,cov_incr_end,con_continuity,len_coords,target
0.0,1.0,34.0,3.95,0.49,0.71,0.0,124.0,0.0
4.0,0.0,0.0,57.72,0.54,0.55,0.0,106.0,0.0
2.0,1.0,8.0,21.57,0.45,0.78,0.0,9435.0,0.0
4.0,0.0,0.0,1.91,0.57,1.0,0.2,1669.0,0.0
0.0,1.0,9.0,1.28,0.05,0.97,0.54,313.0,0.0
6.0,0.0,0.0,87.35,0.75,0.78,0.0,139.0,0.0
0.0,1.0,32.0,3.68,0.34,0.77,0.0,59.0,0.0
16.0,0.0,0.0,364.02,0.76,0.87,0.0,59.0,0.0
0.0,1.0,32.0,5.19,0.84,0.62,0.0,62.0,0.0
0.0,1.0,8.0,0.84,0.3,0.51,0.6,430.0,0.0
0.0,1.0,36.93,1.04,0.97,1.0,0.48,169.0,0.0
1.0,1.0,23.94,13.48,0.86,1.0,0.01,147.0,0.0
8.0,0.0,0.0,13.17,0.82,0.93,0.03,308.0,0.0
0.0,1.0,9.0,3.33,0.38,0.63,0.0,75.0,0.0
4.0,0.0,0.0,6.64,0.62,0.78,0.0,72.0,0.0
0.0,1.0,19.0,2.85,0.29,0.58,0.07,178.0,0.0
6.0,0.0,0.0,150.12,0.64,0.8,0.08,40.0,0.0
0.0,1.0,27.0,1.14,0.99,0.7,0.31,7314.0,0.0
1.0,1.0,30.0,1.5,0.66,0.99,0.32,1401.0,0.0
3.0,0.0,0.0,7.52,0.53,0.95,0.0,98.0,0.0
0.0,1.0,26.0,1.85,0.45,0.41,0.24,171117723.0,0.0
0.0,1.0,23.0,1.59,0.37,0.98,0.19,422.0,0.0
8.0,0.0,0.0,0.88,0.47,0.14,0.56,443.0,0.0
4.0,0.0,0.0,40.06,0.22,0.52,0.0,64.0,0.0
8.0,0.0,0.0,3.14,0.4,0.52,0.18,7719760.0,0.0
0.0,1.0,11.0,0.91,0.6,1.0,0.44,3265883.0,0.0
0.0,1.0,12.0,0.97,0.24,1.0,0.32,2785.0,0.0
4.0,2.0,52.0,3.58,0.55,0.71,0.0,496.0,0.0
69.0,0.0,0.0,697.23,0.63,0.96,0.0,111.0,0.0
1.0,1.0,33.0,25.12,0.75,0.85,0.0,51.0,0.0
3.0,0.0,0.0,11.4,0.93,0.96,0.0,48.0,0.0
24.0,0.0,0.0,535.51,0.23,0.26,0.0,2092.0,0.0
6.0,0.0,0.0,8.4,0.46,0.76,0.0,695.0,0.0
0.0,1.0,8.0,5.05,0.44,0.98,0.0,97.0,0.0
6.0,0.0,0.0,151.21,0.76,0.67,0.0,126.0,0.0
0.0,2.0,16.0,3.7,0.39,0.93,0.0,125.0,0.0
0.0,1.0,9.0,9.66,0.44,0.58,0.0,29.0,0.0
0.0,1.0,20.91,2.84,0.61,0.28,0.15,67.0,0.0
0.0,1.0,27.0,1.61,0.26,1.0,0.0,128.0,0.0
40.0,0.0,0.0,80.3,0.4,0.35,0.0,209279.0,0.0
4.0,0.0,0.0,6.26,0.5,0.91,0.0,57.0,0.0
0.0,1.0,31.0,5.34,0.35,0.66,0.0,58.0,0.0
3.0,0.0,0.0,38.88,0.62,0.89,0.0,163.0,0.0
0.0,1.0,21.0,11.89,0.45,0.51,0.0,71.0,0.0
0.0,1.0,30.0,1.18,0.23,1.0,0.41,107.0,0.0
0.0,1.0,32.0,3.78,0.36,0.92,0.0,98.0,0.0
0.0,1.0,34.0,3.82,0.37,0.42,0.0,61.0,0.0
4.0,0.0,0.0,0.25,0.98,1.0,0.8,4873992.0,0.0
53.0,0.0,0.0,2420.12,0.94,0.95,0.0,269.0,0.0
4.0,0.0,0.0,1.31,0.26,0.42,0.33,143.0,0.0
0.0,1.0,20.85,1.81,0.81,0.9,0.23,20603017.0,0.0
4.0,0.0,0.0,3.63,0.67,0.88,0.0,76.0,0.0
0.0,2.0,26.0,3.68,0.38,0.58,0.0,62.0,0.0
6.0,0.0,0.0,151.25,0.69,0.85,0.0,196.0,0.0
0.0,1.0,23.97,2.51,0.99,0.99,0.0,67.0,0.0
0.0,1.0,27.0,0.99,0.41,0.89,0.5,110.0,0.0
0.0,1.0,24.0,0.86,0.35,0.43,0.53,50716968.0,0.0
4.0,0.0,0.0,0.38,0.97,1.0,0.62,186.0,0.0
12.0,0.0,0.0,20.95,0.75,0.98,0.0,110.0,0.0
0.0,1.0,28.0,2.33,0.61,0.9,0.0,130.0,0.0
0.0,1.0,43.0,2.39,0.53,0.59,0.0,135.0,0.0
0.0,1.0,8.0,2.36,0.11,0.25,0.0,28.0,0.0
0.0,1.0,22.0,1.13,0.73,0.55,0.41,1110.0,0.0
15.0,0.0,0.0,546.61,0.7,0.93,0.0,190.0,0.0
0.0,1.0,37.0,2.48,0.41,0.96,0.0,75.0,0.0
0.0,3.0,66.0,5.22,0.99,0.91,0.13,116.0,0.0
15.0,0.0,0.0,332.46,0.97,0.98,0.0,202.0,0.0
3.0,0.0,0.0,5.14,0.87,0.94,0.0,66.0,0.0
3.0,0.0,0.0,18.3,0.26,0.9,0.0,358.0,0.0
0.0,1.0,7.99,13.26,0.45,0.68,0.0,104.0,0.0
4.0,0.0,0.0,4.48,0.38,0.46,0.0,170.0,0.0
0.0,1.0,14.0,1.81,0.4,0.37,0.21,1054.0,0.0
6.0,0.0,0.0,145.98,0.62,0.44,0.0,224.0,0.0
6.0,0.0,0.0,5.26,0.98,0.59,0.03,2905.0,0.0
0.0,1.0,17.92,8.44,0.72,0.68,0.0,101.0,0.0
0.0,1.0,29.0,1.07,0.29,0.29,0.75,423.0,0.0
